id,order_line/order_id/date_order,order_line/order_id/confirmation_date,order_line/order_id/name,order_line/order_id/customer_reference,order_line/order_partner_id/display_name,order_line/end_customer,order_line/product_categ_name,order_line/name,order_line/product_uom_qty,order_line/product_uom/display_name,order_line/price_unit,order_line/product_margin_price,order_line/price_subtotal,order_line/order_id/state,order_line/order_id/picking_state,order_line/order_id/invoice_status
__export__.sale_order_898,3/15/2021 6:49,3/15/2021 6:51,SO21-000829,2021/03/FBI/005485,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari","TRIAS SENTOSA Tbk, PT ",GPC_FG,"[GN15M04950] 3020-I INCONEL WIRE INSERTED EXPANDED GRAPHITE PACKING (1/4"")",4,mtr,29154.6,15489.221,116618.4,Sale Order,not_received,Nothing to Invoice
__export__.sale_order_896,3/15/2021 4:38,3/15/2021 6:18,SO21-000827,M21PL1026A,"[C20-0000168]PT PERTAMINA (PERSERO) RU IV CILACAP, [C20-0000169]Ardi suradi",PERTAMINA RU IV CILACAP,DJG_FG,"[HAA364D011I0] DOUBLE JACKETED GASKET (29.1/16""X28.1/16""X3 MM, DJG-3840-A-SPCC-FG)",2,Unit(s),275500,0,551000,Sale Order,not_received,Nothing to Invoice
,3/15/2021 4:38,3/15/2021 6:18,SO21-000827,M21PL1026A,"[C20-0000168]PT PERTAMINA (PERSERO) RU IV CILACAP, [C20-0000169]Ardi suradi",PERTAMINA RU IV CILACAP,DJG_FG,"[HAA365D311I0] DOUBLE JACKETED GASKET (1105X1137X3 MM, R=3/8"", W=1/2"", P=SESUAI DRAWING, DJG-3840-SPECIAL-SPCC-FG)",2,Unit(s),1886400,0,3772800,Sale Order,not_received,Nothing to Invoice
__export__.sale_order_895,3/12/2021 6:59,3/12/2021 8:01,SO21-000826,2021/03/FBI/005486,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari",SWADAYA DINAMIKA MANDIRI,GPC_FG,"[GN11M04020] 2710 LUBRICATED / PTFE IMPREGNATED RAMIE PACKING (1/4"")",81,mtr,17000,11376.739,1377000,Sale Order,not_received,Nothing to Invoice
__export__.sale_order_894,3/12/2021 6:49,3/12/2021 7:03,SO21-000825,2021/03/FBI/005270,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari","KARUNIA ALAM SEGAR, PT ",GPC_FG,"[GN01K14020] 2007 GLASS ROUND BRAIDED ROPE PACKING (7/8"" X 11 LBS)",10,Box,521953.37,0,5219533.7,Sale Order,not_received,Nothing to Invoice
__export__.sale_order_893,3/12/2021 6:45,3/12/2021 6:48,SO21-000824,2021/03/FBI/005385,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari",RIAU ANDALAN PULP & PAPER,GPC_FG,"[N17HI11] 3067 LUBRICATED PTFE FIBER AND PTFE / GRAPHITE FIBER PACKING (3/4"")",2,mtr,501000,299275.966,1002000,Sale Order,not_received,Nothing to Invoice
__export__.sale_order_892,3/10/2021 7:02,3/10/2021 7:06,SO21-000823,0242/HI/I/2021,"[V18-0000058]HIDROFLEX INDONESIA PT, Christine",PT HIDROFLEX INDONESIA,EJM_RM,[AAA18ACCA291] FLANGE SLIP ON SS 304 ANSI 150  (6 INCH),1,Unit(s),879357.58,967293.338,879357.58,Sale Order,done,Fully Invoiced
__export__.sale_order_891,3/10/2021 3:33,3/10/2021 3:38,SO21-000822,2021/03/FBI/005346,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari","FLEKSINDO WIJAYA TEKNIK, PT,",EJF_FG,"[FOCBSCBN002] EXPANSION JOINT FABRIC TYPE FLANGE, 3 FLEX 30, CLOSE BAND (RECT. 445 X 630 X 140MM OAL)",2,Unit(s),2564000,0,5128000,Sale Order,done,Fully Invoiced
,3/10/2021 3:33,3/10/2021 3:38,SO21-000822,2021/03/FBI/005346,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari","FLEKSINDO WIJAYA TEKNIK, PT,",SUPPLIES,[BIAYA PACKAGING] BIAYA PACKAGING,2,Unit(s),340000,0,680000,Sale Order,done,Fully Invoiced
__export__.sale_order_890,3/10/2021 3:25,3/10/2021 3:31,SO21-000821,2021/03/FBI/004942,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari",SUPARMA Tbk. PT ,EJF_FG,[FOCBMOCN008] EXPANSION JOINT FABRIC 3 FLEX 40 TYPE FLANGE (RECT. 1100 X 900 X 150 MM OAL),4,Unit(s),6248000,0,24992000,Sale Order,not_received,Nothing to Invoice
,3/10/2021 3:25,3/10/2021 3:31,SO21-000821,2021/03/FBI/004942,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari",SUPARMA Tbk. PT ,EJF_FG,"[FOCAMOCN002] EXPANSION JOINT FABRIC 3 FLEX 40 TYPE BELT,  OPEN BAND (DIA. 1500 X 560 MM OAL)",2,Unit(s),11271000,0,22542000,Sale Order,not_received,Nothing to Invoice
,3/10/2021 3:25,3/10/2021 3:31,SO21-000821,2021/03/FBI/004942,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari",SUPARMA Tbk. PT ,SUPPLIES,[BIAYA PACKAGING] BIAYA PACKAGING,4,Unit(s),240000,0,960000,Sale Order,not_received,Nothing to Invoice
,3/10/2021 3:25,3/10/2021 3:31,SO21-000821,2021/03/FBI/004942,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari",SUPARMA Tbk. PT ,SUPPLIES,[BIAYA PACKAGING] BIAYA PACKAGING,2,Unit(s),340000,0,680000,Sale Order,not_received,Nothing to Invoice
__export__.sale_order_889,3/10/2021 2:04,3/10/2021 3:25,SO21-000820,2021/03/FBI/004943,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari","FLEKSINDO WIJAYA TEKNIK, PT",EJF_FG,[FOCBMCCN002] EXPANSION JOINT FABRIC 3 FLEX 40 TYPE FLANGE (RECT. 1435 X 1005 X 285MM OAL),2,Unit(s),8417000,0,16834000,Sale Order,not_received,Nothing to Invoice
,3/10/2021 2:04,3/10/2021 3:25,SO21-000820,2021/03/FBI/004943,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari","FLEKSINDO WIJAYA TEKNIK, PT",SUPPLIES,[BIAYA PACKAGING] BIAYA PACKAGING,2,Unit(s),340000,0,680000,Sale Order,not_received,Nothing to Invoice
__export__.sale_order_888,3/10/2021 1:59,3/10/2021 2:03,SO21-000819,2021/03/FBI/005264,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari","VALE INDONESIA, TBK,",GPC_FG,"[GN43M08600] 3079 LUBRICATED / PTFE IMPREGNATED KYNOL FIBER PACKING (1/2"")",12,mtr,470631.32,261498.05,5647575.84,Sale Order,not_received,Nothing to Invoice
__export__.sale_order_887,3/9/2021 4:15,3/9/2021 4:32,SO21-000818,1495/HI/X/2020,"[V18-0000058]HIDROFLEX INDONESIA PT, Christine",PT HIDROFLEX INDONESIA,SUPPLIES,[LL0008721A10] SUBCONT SANDBLAST  (AS PER DRAWING ALL SIZE),1,Lot,265940420.3,0,265940420.3,Sale Order,draft,Fully Invoiced
__export__.sale_order_886,3/8/2021 7:49,3/8/2021 7:59,SO21-000817,0256/HI/II/2021,"[V18-0000058]HIDROFLEX INDONESIA PT, Christine",PT HIDROFLEX INDONESIA,SUPPLIES,"[LL0008621A10] SUBCONT SANDBLAST  (PIPE END, END RING & COVER SHEET)",1,Unit(s),860000,0,860000,Sale Order,draft,Fully Invoiced
__export__.sale_order_885,3/8/2021 6:58,3/10/2021 4:07,SO21-000816,018-21 R1 UC,"[C19-0000133]ULTIMIND CORP, [C19-0000132]Mrs. Susan B. Elegores",ULTIMIND CORP,EJF_FG,[EJ0004421A10] EXPANSION JOINT FABRIC TYPE FLANGE (RECT. 5450 X 2250 X 160 OAL),2,Unit(s),4023.99,0,8047.98,Sale Order,not_received,Nothing to Invoice
,3/8/2021 6:58,3/10/2021 4:07,SO21-000816,018-21 R1 UC,"[C19-0000133]ULTIMIND CORP, [C19-0000132]Mrs. Susan B. Elegores",ULTIMIND CORP,SUPPLIES,[JASA] PACKAGING WOODEN CRATE ,1,Unit(s),42,0,42,Sale Order,not_received,Nothing to Invoice
__export__.sale_order_884,3/8/2021 3:09,3/8/2021 7:47,SO21-000815,014-21 UC,"[C19-0000133]ULTIMIND CORP, [C19-0000132]Mrs. Susan B. Elegores",ULTIMIND CORP,EJF_FG,[EJ0000300A10] EXPANSION JOINT FABRIC TYPE FLANGE (Rect. 14182 X 6208 X 400 MM OAL),2,Unit(s),6233.67,2737.05,12467.34,Sale Order,not_received,Nothing to Invoice
,3/8/2021 3:09,3/8/2021 7:47,SO21-000815,014-21 UC,"[C19-0000133]ULTIMIND CORP, [C19-0000132]Mrs. Susan B. Elegores",ULTIMIND CORP,SUPPLIES,[JASA] SPLICING KIT,2,Unit(s),15.41,0,30.82,Sale Order,not_received,Nothing to Invoice
,3/8/2021 3:09,3/8/2021 7:47,SO21-000815,014-21 UC,"[C19-0000133]ULTIMIND CORP, [C19-0000132]Mrs. Susan B. Elegores",ULTIMIND CORP,SUPPLIES,[JASA] PACKAGING WOODEN CRATE ,2,Unit(s),150,0,300,Sale Order,not_received,Nothing to Invoice
,3/8/2021 3:09,3/8/2021 7:47,SO21-000815,014-21 UC,"[C19-0000133]ULTIMIND CORP, [C19-0000132]Mrs. Susan B. Elegores",ULTIMIND CORP,SUPPLIES,[JASA] CIF MANILA,1,Unit(s),1290,0,1290,Sale Order,not_received,Nothing to Invoice
__export__.sale_order_883,3/5/2021 2:30,3/5/2021 2:43,SO21-000814,2021/02/FBI/004837,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari",PLTU TENAYAN RAYA ,EJF_FG,[FBRASOBN001] EXPANSION JOINT FABRIC 3 FLEX 30 TYPE BELT OPEN BAND (DIA.415 MM X 570 MM OAL),4,Unit(s),4472366.08,0,17889464.32,Sale Order,done,Fully Invoiced
,3/5/2021 2:30,3/5/2021 2:43,SO21-000814,2021/02/FBI/004837,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari",PLTU TENAYAN RAYA ,EJF_FG,[EJ0004321A10] EXPANSION JOINT FABRIC 3 FLEX 30 TYPE BELT OPEN BAND (RECT. 3530 X 3200 X 260 OAL),1,Unit(s),16636439.66,0,16636439.66,Sale Order,done,Fully Invoiced
,3/5/2021 2:30,3/5/2021 2:43,SO21-000814,2021/02/FBI/004837,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari",PLTU TENAYAN RAYA ,SUPPLIES,[BIAYA LEMBUR] BIAYA LEMBUR,1,Unit(s),3116367.38,0,3116367.38,Sale Order,done,Fully Invoiced
,3/5/2021 2:30,3/5/2021 2:43,SO21-000814,2021/02/FBI/004837,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari",PLTU TENAYAN RAYA ,SUPPLIES,[BIAYA PACKAGING] BIAYA PACKAGING,1,Unit(s),1150000,0,1150000,Sale Order,done,Fully Invoiced
__export__.sale_order_882,3/5/2021 2:23,3/5/2021 2:29,SO21-000813,2021/03/FBI/004966,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari",DAYASA ARIA PRIMA ,GPC_FG,"[GN18M09020] 3064 LUBRICATED PTFE FIBER PACKING (9/16"")",1,mtr,274000,164852.182,274000,Sale Order,done,Fully Invoiced
,3/5/2021 2:23,3/5/2021 2:29,SO21-000813,2021/03/FBI/004966,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari",DAYASA ARIA PRIMA ,GPC_FG,"[GN18M11020] 3064 LUBRICATED PTFE FIBER PACKING (11/16"")",1,mtr,419000,252671.221,419000,Sale Order,done,Fully Invoiced
__export__.sale_order_881,3/4/2021 3:36,3/4/2021 3:47,SO21-000812,2021/03/JFI/002000,"[V19-0000214]JEIL FAJAR INDONESIA PT, [C21-0000218]PINGKAN",JEIL FAJAR INDONESIA PT,SUPPLIES,[FAA05AATA063] DRILL BIT NACHI (8 MM),1,Unit(s),56000,61600,56000,Sale Order,done,Fully Invoiced
,3/4/2021 3:36,3/4/2021 3:47,SO21-000812,2021/03/JFI/002000,"[V19-0000214]JEIL FAJAR INDONESIA PT, [C21-0000218]PINGKAN",JEIL FAJAR INDONESIA PT,SUPPLIES,[FAA05AATA109] DRILL BIT NACHI (13 MM),1,Unit(s),160000,176000,160000,Sale Order,done,Fully Invoiced
__export__.sale_order_880,3/4/2021 2:10,3/4/2021 2:13,SO21-000811,2021/03/FBI/004887,"[V18-0000050]FAJAR BENUA INDOPACK, PT, [V19-00098]Mustika Sari","HALUS SAJA, PT",INS_FG,"[N64DI05] 2007 GLASS ROUND BRAIDED ROPE PACKING (3/8"")",108,mtr,15129,8994.073,1633932,Sale Order,done,Fully Invoiced
